Entity,Code,Year,Internet User
Australia,AUS,2017,21160670
Austria,AUT,2017,7681572
Azerbaijan,AZE,2017,7763795
Bahrain,BHR,2017,1431062
Belarus,BLR,2017,7047894
Belgium,BEL,2017,10021205
Bosnia and Herzegovina,BIH,2017,2437067
Bulgaria,BGR,2017,4492334
Cambodia,KHM,2017,5441827
Cameroon,CMR,2017,5581180
Cape Verde,CPV,2017,312327
Chile,CHL,2017,14864002
China,CHN,2017,765367947
Colombia,COL,2017,30548193
Costa Rica,CRI,2017,3511631
Cote d'Ivoire,CIV,2017,10650799
Croatia,HRV,2017,2810896
Cyprus,CYP,2017,952407
Czechia,CZE,2017,8358640
Denmark,DNK,2017,5567241
Djibouti,DJI,2017,532863
Ecuador,ECU,2017,9521429
Egypt,EGY,2017,43850341
Estonia,EST,2017,1153818
Finland,FIN,2017,4831111
France,FRA,2017,52308536
Georgia,GEO,2017,2366455
Germany,DEU,2017,69300711
Hong Kong,HKG,2017,6585380
Hungary,HUN,2017,7461350
Indonesia,IDN,2017,85249263
Iran,IRN,2017,49035599
Iraq,IRQ,2017,18892351
Ireland,IRL,2017,4024333
Israel,ISR,2017,6788835
Italy,ITA,2017,36388297
Japan,JPN,2017,115848998
Kazakhstan,KAZ,2017,13913107
Kuwait,KWT,2017,4053797
Latvia,LVA,2017,1585391
Lithuania,LTU,2017,2243311
Luxembourg,LUX,2017,570780
Macao,MAC,2017,517814
Madagascar,MDG,2017,2505948
Malaysia,MYS,2017,25343837
Malta,MLT,2017,344976
Mexico,MEX,2017,82473657
Montenegro,MNE,2017,448274
Morocco,MAR,2017,22073555
Netherlands,NLD,2017,15877031
Niger,NER,2017,2195911
Norway,NOR,2017,5120147
Paraguay,PRY,2017,4160051
Peru,PER,2017,15673479
Poland,POL,2017,29004155
Portugal,PRT,2017,7622268
Romania,ROU,2017,12545023
Russia,RUS,2017,109443932
Saint Vincent and the Grenadines,VCT,2017,72048
Saudi Arabia,SAU,2017,26375524
Singapore,SGP,2017,4821092
Slovakia,SVK,2017,4446690
Slovenia,SVN,2017,1640798
South Korea,KOR,2017,48482630
Spain,ESP,2017,39216797
Sweden,SWE,2017,9554872
Switzerland,CHE,2017,7943192
Thailand,THA,2017,36515273
Togo,TGO,2017,963813
Tunisia,TUN,2017,6400330
Turkey,TUR,2017,52229607
United Arab Emirates,ARE,2017,8913210
